product_name,product_price,image_url,mega_category,main_category,sub_category,mega_category_url,main_category_url,sub_category_url
Nattlampa - Bunny Baby Rabbit Vit,849.0,https://mymall.se/inredning-mobler/barnrummet/belysning/nattlampa-bunny-baby-rabbit-vit-1528-f1c10348,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Nattlampa - Elefant - Rosa,669.0,https://mymall.se/inredning-mobler/barnrummet/belysning/nattlampa-elefant-rosa-1528-f1c10595,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Ljusslinga Prickig Turkos,339.0,https://mymall.se/inredning-mobler/barnrummet/belysning/ljusslinga-prickig-turkos-1528-f1c11089,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Nattlampa - Uggla - LumiPets,399.0,https://mymall.se/inredning-mobler/barnrummet/belysning/nattlampa-uggla-lumipets-1528-f1c15420,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Nattlampa - Tiger - A Little Lovely Company,199.0,https://mymall.se/inredning-mobler/barnrummet/belysning/nattlampa-tiger-a-little-lovely-company-1528-f1c26778,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Nattlampa - Bambi - Djeco,499.0,https://mymall.se/inredning-mobler/barnrummet/belysning/nattlampa-bambi-djeco-1528-f1c27074,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Nattlampa - Sovande moln - A Little Lovely Company,179.0,https://mymall.se/inredning-mobler/barnrummet/belysning/nattlampa-sovande-moln-a-little-lovely-company-1528-f1c32105,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Nattlampa - Sovande stjärna - A Little Lovely Company,179.0,https://mymall.se/inredning-mobler/barnrummet/belysning/nattlampa-sovande-stjrna-a-little-lovely-company-1528-f1c32109,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
"Vägglampa Måne, Roommate",599.0,https://mymall.se/inredning-mobler/barnrummet/belysning/vgglampa-mne-roommate-1528-f1c32359,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
"Vägglampa Stjärna, Roommate",599.0,https://mymall.se/inredning-mobler/barnrummet/belysning/vgglampa-stjrna-roommate-1528-f1c32360,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
